h_over_J,time,trotter_steps,dt,sim_mz,exact_mz,abs_error_mz,se_mz,sim_mz2,exact_mz2,abs_error_mz2,se_mz2,sim_czz,exact_czz,abs_error_czz,se_czz
0.5,1.0,1,1.0,0.53975,0.8175903486138817,0.27784034861388174,0.002976639008677203,0.379925,0.7252329649885917,0.3453079649885917,0.003044395674350198,0.2903142857142858,0.7715636795453144,0.48124939383102855,0.004256435920471815
0.5,1.0,2,0.5,0.785625,0.8175903486138817,0.03196534861388167,0.00245546612049258,0.67749375,0.7252329649885917,0.04773921498859168,0.003272972317843995,0.7103142857142856,0.7715636795453144,0.06124939383102879,0.0032251995203858123
0.5,1.0,4,0.25,0.808525,0.8175903486138817,0.00906534861388164,0.002422538814329025,0.71239375,0.7252329649885917,0.01283921498859164,0.003235166659374,0.7552857142857143,0.7715636795453144,0.016277965259600014,0.0029919857739228463
0.5,1.0,8,0.125,0.8139,0.8175903486138817,0.003690348613881733,0.002408009312873416,0.7204125,0.7252329649885917,0.004820464988591677,0.0032368227185785364,0.7666285714285718,0.7715636795453144,0.004935108116742581,0.002929014397558613
0.5,1.0,16,0.0625,0.818025,0.8175903486138817,0.0004346513861183121,0.0023821633881286938,0.72590625,0.7252329649885917,0.0006732850114082867,0.003207664390904732,0.7708571428571428,0.7715636795453144,0.0007065366881715551,0.0029034803463865856
0.5,1.0,32,0.03125,0.8168,0.8175903486138817,0.0007903486138817195,0.002385496816075418,0.7240625,0.7252329649885917,0.0011704649885916352,0.0032034772452791188,0.7687428571428561,0.7715636795453144,0.0028208224024582895,0.002913411097836058
0.5,1.0,64,0.015625,0.816675,0.8175903486138817,0.0009153486138816502,0.0024148814883468437,0.72526875,0.7252329649885917,3.5785011408329126e-05,0.003223181480265922,0.7724857142857142,0.7715636795453144,0.0009220347403998685,0.0028925079872256444
0.5,1.0,128,0.0078125,0.815825,0.8175903486138817,0.0017653486138816676,0.0024213463670699686,0.72419375,0.7252329649885917,0.001039214988591719,0.0032242050157197033,0.771914285714286,0.7715636795453144,0.00035060616897164554,0.0028880037338550775
0.5,1.0,256,0.00390625,0.817525,0.8175903486138817,6.534861388174384e-05,0.002394313202375812,0.72566875,0.7252329649885917,0.00043578501140828507,0.0032305558521646305,0.7705428571428578,0.7715636795453144,0.0010208224024566004,0.0029305367531749405
0.5,1.0,512,0.001953125,0.819375,0.8175903486138817,0.0017846513861182745,0.0023650888571109126,0.72730625,0.7252329649885917,0.0020732850114083545,0.0031948243885824346,0.7732285714285712,0.7715636795453144,0.0016648918832568027,0.0028881778653033303
0.5,1.0,1024,0.0009765625,0.815775,0.8175903486138817,0.0018153486138816621,0.002397355766040346,0.72295625,0.7252329649885917,0.0022767149885917215,0.003225335122085568,0.7694857142857141,0.7715636795453144,0.002077965259600245,0.0028965518383546724
1.0,1.0,1,1.0,-0.416125,0.23911267544186998,0.6552376754418701,0.003214133865157192,0.27645625,0.27945773602424034,0.0030014860242403296,0.0027220464176357694,0.1668,0.4889454276261531,0.3221454276261531,0.004207082831915181
1.0,1.0,2,0.5,0.1589,0.23911267544186998,0.08021267544186997,0.004506757158535236,0.2283375,0.27945773602424034,0.051120236024240345,0.0026854872311261983,0.38200000000000034,0.4889454276261531,0.10694542762615278,0.0032397525427768897
1.0,1.0,4,0.25,0.2198,0.23911267544186998,0.019312675441869986,0.004673834664710264,0.2667375,0.27945773602424034,0.012720236024240328,0.002999842894238632,0.4645999999999996,0.4889454276261531,0.024345427626153493,0.0031226862348007036
1.0,1.0,8,0.125,0.23055,0.23911267544186998,0.008562675441869977,0.0047216945252651615,0.276075,0.27945773602424034,0.0033827360242403293,0.0030585139182679588,0.4801714285714284,0.4889454276261531,0.008773999054724702,0.0030858469416313516
1.0,1.0,16,0.0625,0.2405,0.23911267544186998,0.0013873245581300098,0.004706053515842058,0.2792875,0.27945773602424034,0.00017023602424032225,0.003080828055819726,0.48951428571428535,0.4889454276261531,0.0005688580881322292,0.0030435164700280595
1.0,1.0,32,0.03125,0.24265,0.23911267544186998,0.0035373245581300228,0.004665889497457076,0.2765625,0.27945773602424034,0.002895236024240355,0.003033351752873489,0.4896571428571424,0.4889454276261531,0.0007117152309892849,0.002981026285190368
1.0,1.0,64,0.015625,0.2401,0.23911267544186998,0.000987324558130026,0.00471048488658935,0.2795125,0.27945773602424034,5.476397575965297e-05,0.003072842510686896,0.48959999999999954,0.4889454276261531,0.0006545723738464182,0.0030346137148315896
1.0,1.0,128,0.0078125,0.2322,0.23911267544186998,0.006912675441869992,0.004738334220073349,0.2784125,0.27945773602424034,0.001045236024240337,0.003091418654324359,0.4893999999999996,0.4889454276261531,0.00045457237384649574,0.0030303041924598503
1.0,1.0,256,0.00390625,0.241525,0.23911267544186998,0.002412324558130008,0.004691416990295968,0.27840625,0.27945773602424034,0.0010514860242403223,0.0030798461574937687,0.4887142857142853,0.4889454276261531,0.00023114191186779376,0.003063817467353043
1.0,1.0,512,0.001953125,0.23935,0.23911267544186998,0.0002373245581300254,0.004728730679514741,0.280875,0.27945773602424034,0.0014172639757596417,0.0031020171966913493,0.4898857142857143,0.4889454276261531,0.0009402866595611958,0.003063760296190156
1.0,1.0,1024,0.0009765625,0.24695,0.23911267544186998,0.007837324558130021,0.004718585196287703,0.2836125,0.27945773602424034,0.0041547639757596455,0.0031054790305806183,0.4908857142857139,0.4889454276261531,0.0019402866595608081,0.0030514586069221032
2.0,1.0,1,1.0,-0.65845,-0.4158334328843922,0.2426165671156078,0.002669048919037121,0.5047875,0.3885036607629468,0.11628383923705315,0.0032180996684258553,0.43294285714285724,0.5285414635587911,0.09559860641593382,0.004221503957191851
2.0,1.0,2,0.5,-0.038475,-0.4158334328843922,0.3773584328843922,0.004547764357743853,0.20828125,0.3885036607629468,0.1802224107629468,0.0025337554921564852,0.3590571428571428,0.5285414635587911,0.16948432070164826,0.0033464477593344367
2.0,1.0,4,0.25,-0.3592,-0.4158334328843922,0.056633432884392154,0.004675705532026394,0.347625,0.3885036607629468,0.04087866076294677,0.0035668949327736224,0.48414285714285726,0.5285414635587911,0.044398606415933795,0.0035788798300702687
2.0,1.0,8,0.125,-0.403625,-0.4158334328843922,0.012208432884392162,0.004651636777519392,0.37926875,0.3885036607629468,0.009234910762946802,0.0036974407800093186,0.5207428571428571,0.5285414635587911,0.007798606415933995,0.0035082177671928163
2.0,1.0,16,0.0625,-0.4105,-0.4158334328843922,0.005333432884392197,0.004647029641442891,0.3844375,0.3885036607629468,0.004066160762946802,0.0037264130004281562,0.5261428571428572,0.5285414635587911,0.0023986064159338127,0.0034953349817467595
2.0,1.0,32,0.03125,-0.41085,-0.4158334328843922,0.0049834328843921805,0.004634368941673587,0.38355,0.3885036607629468,0.004953660762946788,0.0037443955519956733,0.5238,0.5285414635587911,0.004741463558791015,0.0035543200119919115
2.0,1.0,64,0.015625,-0.411575,-0.4158334328843922,0.004258432884392149,0.004627593154042383,0.38351875,0.3885036607629468,0.00498491076294677,0.0037403680383954214,0.5265428571428572,0.5285414635587911,0.001998606415933857,0.0035249221119543366
2.0,1.0,128,0.0078125,-0.4079,-0.4158334328843922,0.007933432884392189,0.004670673454551485,0.3845125,0.3885036607629468,0.0039911607629468104,0.003708676285058287,0.527457142857143,0.5285414635587911,0.0010843207016481005,0.0035072699733118815
2.0,1.0,256,0.00390625,-0.414525,-0.4158334328843922,0.0013084328843921966,0.004625166662312334,0.38573125,0.3885036607629468,0.0027724107629467643,0.0037234355086455373,0.5267999999999999,0.5285414635587911,0.0017414635587911231,0.0035492521495553006
2.0,1.0,512,0.001953125,-0.412725,-0.4158334328843922,0.003108432884392165,0.00467451789484808,0.38883125,0.3885036607629468,0.0003275892370532274,0.0037481621945731525,0.5248,0.5285414635587911,0.003741463558791014,0.0035590883172155843
2.0,1.0,1024,0.0009765625,-0.4116,-0.4158334328843922,0.004233432884392152,0.004628113648517542,0.3835875,0.3885036607629468,0.004916160762946764,0.0037253394375234413,0.5261142857142859,0.5285414635587911,0.0024271778445051906,0.003499033125461547
0.5,2.5,1,2.5,-0.801825,0.7611858141955683,1.5630108141955683,0.002107127413350602,0.68731875,0.7035340955976432,0.01621534559764326,0.00302319363377844,0.6448285714285714,0.80191789966,0.15708932823142863,0.0037236938509646596
0.5,2.5,2,1.25,-0.12855,0.7611858141955683,0.8897358141955682,0.003434373194911146,0.1344625,0.7035340955976432,0.5690715955976432,0.0013669303509079836,0.17400000000000004,0.80191789966,0.62791789966,0.002998542697629035
0.5,2.5,4,0.625,0.695825,0.7611858141955683,0.06536081419556827,0.0038275118448140976,0.63065625,0.7035340955976432,0.07287784559764321,0.003927758740677212,0.7190285714285709,0.80191789966,0.08288932823142914,0.0032196481302770056
0.5,2.5,8,0.3125,0.743,0.7611858141955683,0.018185814195568306,0.0036173413601499633,0.6828875,0.7035340955976432,0.020646595597643258,0.0038566380080385437,0.7817428571428566,0.80191789966,0.020175042517143416,0.0028305259271798615
0.5,2.5,16,0.15625,0.75955,0.7611858141955683,0.0016358141955683525,0.00351598008549482,0.700525,0.7035340955976432,0.0030090955976432854,0.003818576218950461,0.7966000000000006,0.80191789966,0.005317899659999403,0.0027706809436994074
0.5,2.5,32,0.078125,0.76045,0.7611858141955683,0.0007358141955683406,0.003486265215745277,0.6998125,0.7035340955976432,0.00372159559764329,0.0038266918110028986,0.7984,0.80191789966,0.0035178996600000456,0.002764235499321301
0.5,2.5,64,0.0390625,0.76425,0.7611858141955683,0.003064185804431685,0.0034919067987718598,0.706,0.7035340955976432,0.0024659044023567223,0.003808322344800686,0.8038857142857141,0.80191789966,0.0019678146257140483,0.0027281543654654274
0.5,2.5,128,0.01953125,0.758425,0.7611858141955683,0.002760814195568284,0.0035656063008034445,0.70233125,0.7035340955976432,0.0012028455976432761,0.003834656575098825,0.8000285714285719,0.80191789966,0.0018893282314281779,0.0027552295112346446
0.5,2.5,256,0.009765625,0.757675,0.7611858141955683,0.0035108141955683125,0.003537263866474497,0.69918125,0.7035340955976432,0.004352845597643262,0.0038244236034902885,0.798114285714286,0.80191789966,0.003803613945714046,0.0027508946832771474
0.5,2.5,512,0.0048828125,0.752575,0.7611858141955683,0.008610814195568306,0.0035615980171186576,0.69320625,0.7035340955976432,0.010327845597643215,0.0038513066698070463,0.7966571428571427,0.80191789966,0.005260756802857314,0.0027480243256532235
