h_over_J,reference,depth,parameters,optimizer_energy,optimizer_success,optimizer_evaluations,vqe_energy,vqe_mz,vqe_mz2,vqe_mx,vqe_czz,se_energy,se_mz,se_mz2,se_mx,se_czz,ed_energy,ed_mz,ed_mz2,ed_mx,ed_czz,abs_error_energy
0.5,ghz,4,"[0.8658600911810295, -0.8752168477977444, 0.07565386031681386, 0.7338950689635216, -0.777411741302588, -0.794783537328881, -0.20508106351217548, 0.7707131600296033]",-7.623629635182745,True,5436,-7.632600000000001,0.012075,0.90196875,0.31365,0.9111428571428573,0.01948505711423691,0.009496910738174642,0.0020288506508218105,0.003453412856296739,0.001963184028969811,-7.6405925535900705,-3.58046925441613e-14,0.8879925431242273,0.331023606081115,0.9023568756093734,0.007992553590069562
1.0,plus,4,"[-0.837344238803222, 1.0, -0.9092883137261512, -0.8757245258295295, -0.3170068561780068, -0.6275014489830366, 0.10911817781757398, 0.46220641010781455]",-9.761347498070743,True,2367,-9.7212,0.007675,0.31343125,0.78825,0.48788571428571414,0.033839500693431016,0.0055982469108058685,0.003291445552675355,0.002963034206210033,0.003449990292567805,-9.837951447459416,1.6375789613221059e-15,0.44039114634565435,0.7479236392260556,0.5506517619501382,0.11675144745941601
2.0,plus,4,"[-0.8838680378461975, 1.0, -0.9582590093658597, -0.9043801996868788, -0.1889077611476758, -0.6721528328172196, 0.06590108926952665, 0.4762261365435926]",-16.88275761604213,True,3753,-16.857400000000002,-0.005475,0.20166875,0.9441,0.2502571428571429,0.03702838978628448,0.004490645168225017,0.002434407032236723,0.0016318043015410438,0.0037509961095031647,-16.885141493208167,-2.220446049250313e-16,0.20844443176076288,0.9433631887122663,0.2559043534017016,0.02774149320816477
