h_over_J,time,observable,ed_value,h2_value,h2_unfiltered_value,abs_error,unfiltered_abs_error,relative_error_percent,standard_error,ci95_half_width,unfiltered_standard_error,unfiltered_ci95_half_width,accepted_shots,total_shots,acceptance_rate
2.0,0.041666666666666664,mz,0.9861691697398014,0.9437678752652459,0.771625,0.04240129447455554,0.2145441697398014,4.299596435948513,0.0017036997337251793,0.003339251478101351,0.001379442004835612,0.0027037063294777994,10839,50000,0.21678
2.0,0.041666666666666664,mz2,0.9759635421465085,0.9221561029615278,0.69054625,0.053807439184980654,0.28541729214650846,5.5132632379523105,0.0020031339203244306,0.003926142483835884,0.001289213359432981,0.0025268581844886426,10839,50000,0.21678
2.0,0.041666666666666664,czz,0.9725352063651936,0.9230556324384168,0.7460171428571473,0.04947957392677682,0.22651806350804637,5.087689741506067,0.002060702447386153,0.00403897679687686,0.0013357425714044316,0.002618055439952686,10839,50000,0.21678
2.0,0.08333333333333333,mz,0.9453632820610285,0.9110044313146234,0.74193,0.0343588507464051,0.2034332820610285,3.6344600428628713,0.001842904455037326,0.0036120927318731588,0.0013894553298765223,0.0027233324465579835,10832,50000,0.21664
2.0,0.08333333333333333,mz2,0.9070048184936605,0.8667143648449039,0.6469875,0.04029045364875661,0.2600173184936605,4.442143286037925,0.002363712634521129,0.004632876763661412,0.0013372270321070044,0.0026209649829297284,10832,50000,0.21664
2.0,0.08333333333333333,czz,0.8938194102520878,0.8571692340156146,0.6882114285714303,0.03665017623647315,0.20560798168065753,4.10040057489203,0.0026304127918412037,0.005155609072008759,0.0014793039839216939,0.00289943580848652,10832,50000,0.21664
2.0,0.125,mz,0.8795689072225765,0.8506303884305182,0.69151,0.028938518792058332,0.18805890722257657,3.2900797827696957,0.0020398829854087115,0.003998170651401074,0.0014269264593462442,0.0027967758603186384,10787,50000,0.21574
2.0,0.125,mz2,0.8020113627142584,0.7684539260220636,0.57999,0.0335574366921948,0.22202136271425843,4.184159757865012,0.0027921010214864415,0.005472518002113425,0.0013774482550259033,0.0026997985798507705,10787,50000,0.21574
2.0,0.125,czz,0.7743248742454076,0.7434213140155473,0.6009771428571443,0.030903560229860294,0.17334773138826332,3.991032867176884,0.0032703815753722778,0.006409947887729664,0.001623066673763062,0.003181210680575602,10787,50000,0.21574
2.0,0.16666666666666666,mz,0.7918677402068403,0.7653629680679991,0.622475,0.02650477213884117,0.16939274020684025,3.3471210901858406,0.0026320195974558766,0.005158758411013518,0.0014978542515369034,0.0029357943330123306,8706,50000,0.17412
