h_over_J,time,trotter_steps,dt,sim_mz,exact_mz,abs_error_mz,se_mz,sim_mz2,exact_mz2,abs_error_mz2,se_mz2,sim_czz,exact_czz,abs_error_czz,se_czz
0.5,1.0,1,1.0,0.53745,0.8175903486138817,0.2801403486138817,0.0029944776572290474,0.3785125,0.7252329649885917,0.3467204649885917,0.0030577408878629227,0.28674285714285724,0.7715636795453144,0.4848208224024571,0.004297900124509921
0.5,1.0,2,0.5,0.779525,0.8175903486138817,0.03806534861388167,0.002550559345084382,0.67270625,0.7252329649885917,0.05252671498859174,0.00332534678292602,0.7064285714285716,0.7715636795453144,0.06513510811674272,0.00328145768699786
0.5,1.0,4,0.25,0.803025,0.8175903486138817,0.014565348613881701,0.0024766556724405554,0.70618125,0.7252329649885917,0.019051714988591706,0.003265545077901902,0.7474571428571428,0.7715636795453144,0.02410653668817153,0.0030470253456041365
0.5,1.0,8,0.125,0.80605,0.8175903486138817,0.011540348613881646,0.0024372492216383685,0.7091125,0.7252329649885917,0.016120464988591654,0.003241847515986322,0.7551714285714286,0.7715636795453144,0.016392250973885747,0.002959494831366366
0.5,1.0,16,0.0625,0.80535,0.8175903486138817,0.01224034861388168,0.00248957979401245,0.7105625,0.7252329649885917,0.014670464988591703,0.003262545732222077,0.7514285714285713,0.7715636795453144,0.020135108116743017,0.0030482029786479247
0.5,1.0,32,0.03125,0.7926,0.8175903486138817,0.02499034861388172,0.0025232242599631536,0.691875,0.7252329649885917,0.03335796498859167,0.0033203634467994427,0.7341999999999993,0.7715636795453144,0.037363679545315054,0.003129010857834492
0.5,1.0,64,0.015625,0.769425,0.8175903486138817,0.048165348613881664,0.0026774257783139083,0.66369375,0.7252329649885917,0.06153921498859172,0.0034060140416267994,0.7053714285714284,0.7715636795453144,0.06619225097388592,0.003251318169862536
0.5,1.0,128,0.0078125,0.7163,0.8175903486138817,0.10129034861388164,0.00291586714857224,0.5981,0.7252329649885917,0.12713296498859172,0.0035251294875210445,0.6411142857142859,0.7715636795453144,0.1304493938310285,0.003510524998676396
0.5,1.0,256,0.00390625,0.642675,0.8175903486138817,0.1749153486138817,0.0032174981999943215,0.51654375,0.7252329649885917,0.20868921498859172,0.0035737270144166177,0.5472000000000006,0.7715636795453144,0.22436367954531378,0.0038003070537468596
0.5,1.0,512,0.001953125,0.49525,0.8175903486138817,0.32234034861388167,0.0035132218863604785,0.3686875,0.7252329649885917,0.3565454649885917,0.0032974174600079917,0.37785714285714256,0.7715636795453144,0.3937065366881718,0.00398280802265969
0.5,1.0,1024,0.0009765625,0.296875,0.8175903486138817,0.5207153486138817,0.0037196817122845433,0.22648125,0.7252329649885917,0.4987517149885917,0.00259974672240313,0.19594285714285706,0.7715636795453144,0.5756208224024573,0.003954300069122062
1.0,1.0,1,1.0,-0.417325,0.23911267544186998,0.6564376754418699,0.0032449056039795476,0.27944375,0.27945773602424034,1.3986024240353334e-05,0.0027014342988162477,0.17568571428571428,0.4889454276261531,0.31325971334043884,0.004135764885702868
1.0,1.0,2,0.5,0.147975,0.23911267544186998,0.09113767544186999,0.004488928601069363,0.22338125,0.27945773602424034,0.05607648602424034,0.0026432178660512435,0.3775714285714286,0.4889454276261531,0.1113739990547245,0.0032763459573186553
1.0,1.0,4,0.25,0.213375,0.23911267544186998,0.025737675441869973,0.00467786534435505,0.26433125,0.27945773602424034,0.015126486024240327,0.002972726534706609,0.4585142857142856,0.4889454276261531,0.03043114191186752,0.0031174767578157417
1.0,1.0,8,0.125,0.2345,0.23911267544186998,0.0046126754418699956,0.004677409840529438,0.27375,0.27945773602424034,0.005707736024240351,0.0030620152830708367,0.4749999999999998,0.4889454276261531,0.013945427626153306,0.003083875445518236
