h_over_J,time,observable,ed_value,backend_value,abs_error,relative_error_percent,standard_error
0.5,0.041666666666666664,mz,0.999133700596333,0.998975,0.00015870059633305011,0.0158838197769057,0.00015975759684280094
0.5,0.041666666666666664,mz2,0.9984846331616244,0.99820625,0.0002783831616244292,0.027880565446756097,0.00027957579447484264
0.5,0.041666666666666664,czz,0.9982684758660652,0.998,0.0002684758660651543,0.02689415448406636,0.00032264563523929025
0.5,0.08333333333333333,mz,0.9965557775057957,0.99655,5.7775057956677145e-06,0.0005797473584597339,0.0002937999010179649
0.5,0.08333333333333333,mz2,0.9939830191548786,0.993975,8.019154878580181e-06,0.0008067698063291228,0.0005121851919638753
0.5,0.08333333333333333,czz,0.993128664405402,0.9933142857142857,0.00018562130888366557,0.018690559998567682,0.0005887148623324969
0.5,0.125,mz,0.9923284208162271,0.991625,0.0007034208162270961,0.07088588832803018,0.0004512552499750677
0.5,0.125,mz2,0.9866265542415138,0.98535625,0.0012703042415137533,0.12875228586264045,0.0007884326437287467
0.5,0.125,czz,0.984742742074754,0.9835714285714287,0.001171313503325333,0.11894614230489206,0.0009151960218313001
0.5,0.16666666666666666,mz,0.9865528605630272,0.986375,0.00017786056302715458,0.01802848789325382,0.0005827477129853795
0.5,0.16666666666666666,mz2,0.9766274921428921,0.97633125,0.0002962421428921447,0.03033317669996545,0.0010061811864181063
0.5,0.16666666666666666,czz,0.9733740713673977,0.973542857142857,0.0001687857754593125,0.017340278565485305,0.0011600201411777792
0.5,0.20833333333333331,mz,0.9793658428863985,0.97955,0.0001841571136015352,0.018803710068015563,0.0007111471880224954
0.5,0.20833333333333331,mz2,0.9642693024726643,0.964575,0.0003056975273356688,0.03170250536357139,0.0012207066396026551
0.5,0.20833333333333331,czz,0.9593771130214274,0.9592285714285718,0.00014854159285559998,0.015483128671663689,0.0014483274132052618
0.5,0.25,mz,0.9709349040563586,0.971625,0.0006900959436413334,0.07107540791439879,0.0008360208314289009
0.5,0.25,mz2,0.9498940652297336,0.95104375,0.0011496847702663349,0.12103294591995177,0.0014252276567205337
0.5,0.25,czz,0.9431839078962272,0.9439428571428571,0.0007589492466298919,0.08046672979426983,0.0016949884210679597
0.5,0.29166666666666663,mz,0.961452637837369,0.9607,0.0007526378373690079,0.07828132221488768,0.0009946858499013623
0.5,0.29166666666666663,mz2,0.9338876959603345,0.9328375,0.0010501959603345101,0.11245420245681399,0.001666084652165615
0.5,0.29166666666666663,czz,0.9252877003158864,0.9241999999999995,0.001087700315886897,0.117552661244234,0.001954090813732946
0.5,0.3333333333333333,mz,0.9511301912148499,0.95195,0.000819808785150089,0.08619311979813953,0.0010801557404570756
0.5,0.3333333333333333,mz2,0.9166638960967454,0.917875,0.001211103903254629,0.13212082513685128,0.001806481324281405
0.5,0.3333333333333333,czz,0.9062243926829201,0.9070285714285714,0.0008041787456513072,0.08873947249096861,0.002134212347302224
0.5,0.375,mz,0.9401902520868883,0.940575,0.00038474791311171597,0.04092234654185281,0.001214553190043624
0.5,0.375,mz2,0.8986477482875344,0.89943125,0.0007835017124656618,0.08718674407838943,0.0019918106576211833
0.5,0.375,czz,0.8865526081268142,0.8874285714285718,0.000875963301757543,0.09880556367753006,0.0023383772204869655
0.5,0.41666666666666663,mz,0.9288598089851021,0.92715,0.0017098089851020903,0.18407610799419505,0.001344700179169018
0.5,0.41666666666666663,mz2,0.8802598301463423,0.8776875,0.002572330146342394,0.2922239614086158,0.0021795540610330144
0.5,0.41666666666666663,czz,0.866833190101691,0.8648857142857143,0.0019474758159767624,0.22466558020791724,0.002543250089193613
0.5,0.4583333333333333,mz,0.9173629667120318,0.9185,0.0011370332879682143,0.12394584578048909,0.0014167659378218655
0.5,0.4583333333333333,mz2,0.8619016119663315,0.8637125,0.0018108880336684674,0.21010379938113008,0.0022729821279874624
0.5,0.4583333333333333,czz,0.8476089830531475,0.8502285714285716,0.0026195883754240867,0.3090562308563725,0.0026131504323419377
0.5,0.5,mz,0.9059140930914813,0.906,8.590690851872917e-05,0.009482897901010366,0.0015175243945415827
0.5,0.5,mz2,0.8439427503781503,0.8438625,8.025037815029279e-05,0.009508983650174677,0.0024126851409444097
0.5,0.5,czz,0.8293857161312931,0.8304857142857145,0.001099998154421411,0.13262805628633223,0.002774209781127829
0.5,0.5416666666666666,mz,0.8947115515540242,0.89445,0.0002615515540241864,0.02923305880760091,0.0016209356844888471
0.5,0.5416666666666666,mz2,0.8267107097459652,0.8263125,0.00039820974596516123,0.048167967497061294,0.002522971689890674
0.5,0.5416666666666666,czz,0.812614753766921,0.8114857142857139,0.001129039481207128,0.13893908226172397,0.0029069480127722866
0.5,0.5833333333333333,mz,0.8839322432981302,0.88425,0.00031775670186973137,0.03594808360922742,0.0016887062867450625
0.5,0.5833333333333333,mz2,0.8104829560605586,0.8104125,7.045606055866571e-05,0.008693095892000633,0.002599730653225819
0.5,0.5833333333333333,czz,0.797678385745005,0.7971428571428574,0.0005355286021476724,0.06713590486064211,0.002962083492805647
0.5,0.625,mz,0.8737271430066742,0.875175,0.0014478569933258356,0.16571042858339766,0.0017752639504336732
0.5,0.625,mz2,0.7954817921802023,0.79744375,0.0019619578197976884,0.24663767783049917,0.002702424893706458
0.5,0.625,czz,0.7848782097058908,0.7873142857142856,0.002436076008394794,0.3103763078487858,0.0030134120304410135
0.5,0.6666666666666666,mz,0.86421796563202,0.863675,0.0005429656320200538,0.06282739466344836,0.0018493286455208337
0.5,0.6666666666666666,mz2,0.7818717526754657,0.78013125,0.0017405026754656605,0.22260718199754392,0.0027801232433776347
0.5,0.6666666666666666,czz,0.7744270165631781,0.7708571428571424,0.0035698737060357866,0.4609696756033245,0.003099326683121912
0.5,0.7083333333333333,mz,0.8554950508885629,0.8572,0.0017049491114370374,0.19929386028197196,0.0019435647003314405
0.5,0.7083333333333333,mz2,0.769759360341552,0.7725625,0.0028031396584480284,0.36415791776851403,0.002854517045163876
0.5,0.7083333333333333,czz,0.7664444309275993,0.7693714285714282,0.002926997643828866,0.3818930017256997,0.003101212369377404
0.5,0.75,mz,0.8476164992101269,0.84625,0.0013664992101269924,0.16121668365356262,0.002027992856373651
0.5,0.75,mz2,0.7591949681667054,0.7572625,0.0019324681667054477,0.25454175116201677,0.0029316762623021156
0.5,0.75,czz,0.7609563917107548,0.7581142857142853,0.0028421059964695017,0.3734913100709991,0.003134259381160254
0.5,0.7916666666666666,mz,0.8406085404281017,0.837725,0.002883540428101683,0.3430301132359618,0.0020854237786919133
0.5,0.7916666666666666,mz2,0.7501763684850687,0.74526875,0.00490761848506871,0.6541952920990192,0.0029946087779569885
0.5,0.7916666666666666,czz,0.7578983903971567,0.7509714285714288,0.006926961825727829,0.9139697238435798,0.003152498437123837
0.5,0.8333333333333333,mz,0.8344670665706656,0.83305,0.0014170665706656482,0.16981695592724103,0.0021548164825356585
0.5,0.8333333333333333,mz2,0.7426538393250739,0.7404,0.0022538393250739475,0.30348450458725745,0.0030413796620982567
0.5,0.8333333333333333,czz,0.7571222236942214,0.754514285714286,0.002607937979935415,0.34445402582564816,0.003107717410743185
0.5,0.875,mz,0.8291602150269,0.8303,0.0011397849731000775,0.13746257387217983,0.0021689655232723522
0.5,0.875,mz2,0.7365363080746455,0.7364375,9.880807464557329e-05,0.013415234736202496,0.0030472764600143155
0.5,0.875,czz,0.7584058706407057,0.7582857142857142,0.00012015635499151855,0.015843278598306438,0.003033414886703326
0.5,0.9166666666666666,mz,0.8246318496256179,0.82505,0.0004181503743820869,0.0507075217349326,0.0022855025929126027
0.5,0.9166666666666666,mz2,0.7316983350867546,0.7329375,0.001239164913245383,0.16935461703605764,0.003145570050955715
0.5,0.9166666666666666,czz,0.761465978243859,0.7630000000000001,0.0015340217561411462,0.20145637493601543,0.0030128174407658822
0.5,0.9583333333333333,mz,0.8208057563639914,0.824875,0.004069243636008579,0.4957620733600274,0.002307982044040109
0.5,0.9583333333333333,mz2,0.7279876460312198,0.73368125,0.005693603968780159,0.7821017293109378,0.0031502025776085816
0.5,0.9583333333333333,czz,0.76597233972289,0.7690285714285712,0.003056231705681145,0.3990002702691346,0.002957103601749092
0.5,1.0,mz,0.8175903486138817,0.81585,0.001740348613881726,0.21286315534818398,0.0023931047710128604
0.5,1.0,mz2,0.7252329649885917,0.722875,0.002357964988591643,0.3251320751296427,0.0032222797436247843
0.5,1.0,czz,0.7715636795453144,0.769885714285714,0.0016779652596004002,0.21747592636672997,0.002914614692202558
0.9,0.041666666666666664,mz,0.997194096587558,0.9973,0.00010590341244198775,0.010620140332197502,0.0002608214001578205
0.9,0.041666666666666664,mz2,0.9950965627306537,0.9952875,0.00019093726934626964,0.019187813172856,0.00045421965052613677
0.9,0.041666666666666664,czz,0.9943971285110396,0.9944571428571429,6.001434610336531e-05,0.006035249336774311,0.0005468074520659713
0.9,0.08333333333333333,mz,0.9888549969193792,0.98945,0.0005950030806208817,0.06017091307365786,0.0005149235522157216
0.9,0.08333333333333333,mz2,0.9806052286118122,0.9816625,0.001057271388187786,0.10781824911177618,0.0008900314320123767
0.9,0.08333333333333333,czz,0.9778519491250127,0.9788857142857141,0.0010337651607014164,0.10571796289064364,0.0010561866534388095
0.9,0.125,mz,0.9752144661815305,0.975325,0.00011053381846948263,0.011334308739520625,0.0007792946602644886
0.9,0.125,mz2,0.9571661756911504,0.95733125,0.00016507430884959984,0.017246149419185546,0.0013336504235327104
0.9,0.125,czz,0.9511391339553175,0.9525142857142851,0.0013751517589676299,0.14457945319199028,0.0015407568791094776
0.9,0.16666666666666666,mz,0.9566455130227542,0.954725,0.0019205130227542,0.20075492924080854,0.0010533296672166675
0.9,0.16666666666666666,mz2,0.9257923829002661,0.92259375,0.0031986329002661185,0.34550218378829556,0.0017671500263178874
0.9,0.16666666666666666,czz,0.915498735563246,0.9128571428571424,0.002641592706103646,0.2885413822530785,0.002062348775329812
0.9,0.20833333333333331,mz,0.9336434736537172,0.9337,5.65263462827259e-05,0.006054382414468758,0.0012715512904591913
0.9,0.20833333333333331,mz2,0.8877949046307309,0.8879625,0.00016759536926913565,0.018877712453063158,0.002083631958045532
0.9,0.20833333333333331,czz,0.8725631606301667,0.8716285714285715,0.0009345892015951707,0.10710848724351468,0.0025007853796758578
0.9,0.25,mz,0.9068014092132832,0.9087,0.001898590786716725,0.2093722801295481,0.0014833748818501755
0.9,0.25,mz2,0.8446898079838496,0.8477375,0.003047692016150405,0.3608060600878798,0.0023718539802241928
0.9,0.25,czz,0.8242618200347233,0.8282857142857145,0.004023894250991256,0.4881815647874777,0.0028077088772236474
0.9,0.29166666666666663,mz,0.8767814988873376,0.87695,0.00016850111266242251,0.019218141906079858,0.0016985017635622532
0.9,0.29166666666666663,mz2,0.798096288415709,0.7978875,0.00020878841570903806,0.026160805248637523,0.00263967041415487
0.9,0.29166666666666663,czz,0.7727097480732198,0.7706571428571427,0.002052605216077086,0.2656372876355362,0.003160076257803659
0.9,0.3333333333333333,mz,0.8442843335329353,0.8444,0.00011566646706473449,0.01369994236192023,0.0019161761853016819
